itemname,tablename,action,condition,status,description,tags,notes,RunTime
Transfers Full Service,ReplenishmentPolicies,"Status='Exclude'","(Notes = 'Baseline_Transfers') AND (ODepotType LIKE 'Full Service*') AND (DDepotType LIKE 'DO NOT USE*' OR DDepotType LIKE 'Manufacturing*')",,,,,2023-04-14 13:17:22
No Inventory At Renter Distributor Sorts,InventoryConstraints,"Status='Include'","(Notes = 'Depot_Capacity') AND (DepotType LIKE 'Distributor Sort*' OR DepotType LIKE 'Renter Sort*')",,,,,2023-04-14 13:17:22
Min Repair As Day Mins By Month,ProductionConstraints,"Status='Include'","Notes = 'MinRepairsPerDay'",,,,,2023-04-14 13:17:22
Multi Source - Customers - (1) Exclude Lanes,CustomerFulfillmentPolicies,"Status='Exclude'","(SOIPPlan LIKE 'N*') AND (MULTI_SOURCE_OPTION LIKE 'N*')",,,,,2023-04-14 13:17:22
Multi Source - Customers - (2) Include MS Options,CustomerFulfillmentPolicies,"Status='Include'","((CPUDedicated = 'BLANK' Or CPUDedicated = '') OR CPUDedicated = 'C' OR CPUDedicated = 'D') AND (MULTI_SOURCE_OPTION LIKE 'Y*')",,,,,2023-04-14 13:17:22
Multi Source - Customers - (3) Keep SS Constraint,FlowCountConstraints,"Status='Include'","Notes = 'SplitSource_SelectFew_Rent_SS'",,,,,2023-04-14 13:17:22
FQ_Anderson,CustomerFulfillmentPolicies,"Status='Include'","(CustomerName LIKE 'I_USA29626_46323*') AND (SourceName LIKE '*59068*' OR SourceName LIKE '*46146*' OR SourceName LIKE '*60457*' OR SourceName LIKE '*54027*' OR SourceName LIKE '*63875*')",,,,,2023-04-14 13:17:22
Block_X_Country_CAN_Returns,ReplenishmentPolicies,"Status='Exclude'","(FacilityName LIKE 'D*') AND (SourceName LIKE 'R*') AND (OCountry LIKE 'CAN*') AND (DCountry LIKE 'USA*' OR DCountry LIKE 'MEX*') AND (SOIPPlan LIKE 'n*')",,,,,2023-04-14 13:17:22
Monthly Adj_Atlas MFG,ProductionConstraints,"ConstraintType='Min'","(FacilityName LIKE 'D_USA22546_46488*') AND (Notes LIKE 'SOIP_MFG*')",,,,,2023-04-14 13:17:22
New Pallet Requirement - (1) Exclude Base,CustomerFulfillmentPolicies,"Status='Exclude'","New_Pallet_Rqmt LIKE 'N*'",,,,,2023-04-14 13:17:22
New Pallet Requirement - (2) Include Lanes,CustomerFulfillmentPolicies,"Status='Include'","New_Pallet_Rqmt LIKE 'Y*'",,,,,2023-04-14 13:17:22
Hershey_PA/Reese_fromAtlas,CustomerFulfillmentPolicies,"Status='Exclude'","(CustomerName LIKE 'I_USA17033_45786*' OR CustomerName LIKE 'I_USA17033_55754*') AND (SOIPPlan LIKE 'n*')",,,,,2023-04-14 13:17:22
Block_X_CountryMoves_CAN_Issues,CustomerFulfillmentPolicies,"Status='Exclude'","(OCountry LIKE 'USA*') AND (DCountry LIKE 'CAN*' OR DCountry LIKE 'MEX*') AND (SOIPPlan LIKE 'N*')",,,,,2023-04-14 13:17:22
Block_X_Country_USA_Returns,ReplenishmentPolicies,"Status='Exclude'","(FacilityName LIKE 'D*') AND (SourceName LIKE 'R*') AND (OCountry LIKE 'USA*') AND (DCountry LIKE 'CAN*' OR DCountry LIKE 'MEX*') AND (SOIPPlan LIKE 'n*')",,,,,2023-04-14 13:17:22
Issues_Open_withover_1Depot_Zone1,CustomerFulfillmentPolicies,"Status='Include'","(GreenfieldCandidate LIKE 'Y*') AND (Distance < 1000) AND (SOIPPlan LIKE 'N*') AND ((CPUDedicated = 'BLANK' Or CPUDedicated = '')) AND ((PPCRFQ = 'BLANK' Or PPCRFQ = '')) AND (NUMBER_OF_DEPOTS_SERVED > 1) AND (DZone = 'Zone 1')",,,,,2023-04-14 13:17:22
"Tripak's_DedicOpenup",ReplenishmentPolicies,"Status='Include'","(FacilityName != 'D_USA97133_42849') AND (SourceName LIKE 'R_USA98371_44321*' OR SourceName LIKE 'R_USA98421_50992*' OR SourceName LIKE 'R_USA98498_44665*' OR SourceName LIKE 'R_USA98421_50480*' OR SourceName LIKE 'R_USA98047_43988*' OR SourceName LIKE 'R_USA99515_51257*' OR SourceName LIKE 'R_USA99518_51563*' OR SourceName LIKE 'R_USA99501_66126*' OR SourceName LIKE 'R_USA98498_60540*' OR SourceName LIKE 'R_USA99501_70384*' OR SourceName LIKE 'R_USA99518_68382*') AND (DRegion LIKE 'PacificCoastal*') AND (GreenfieldCandidate LIKE 'y*')",,,,,2023-04-14 13:17:22
